id	text
en_0087	The ocean's pH is eroding sharks' teeth. Soon, they'll be gummy sharks... literally.
en_0088	"I tried to read that article about ""recognizing the warning signs of burnout,"" but halfway through, I was too burned out to finish it. I guess that *was* a warning sign."
en_0089	Taylor Swift’s engagement is a great advert for the cult of celebrity. I'm just wondering if they offer a family plan.
en_0090	"Netflix films are now so ""for fans of everything,"" they're the beige sofa of cinema: universally inoffensive, and you forget you saw them."
en_0091	Breakthrough in Australian soft plastics recycling! They've finally figured out how to turn a thousand plastic bags into... one slightly thicker plastic bag.
en_0092	British expats in France hit with shock pension tax bills. They thought they'd found their *joie de vivre*, but it turns out the French government has a *joie de seize*.
en_0093	Tournament officials clarified: the comment was actually directed at anyone paying $20 for a hotdog.
en_0094	"So, the Mexican Senate's new voting system is ""rock, paper, scissors, punch."""
en_0095	Hot cities are planting vines to create cool spaces. My city just added a 'secret' speakeasy to the public library. It’s still sweltering, but we’re *ironic*.
en_0096	"""Tennis Handshakes, Controversy and the Spectacle of Elite Sport."" You know it's elite when the biggest drama isn't a serve, but whether they actually *touch* hands afterwards."
en_0097	Tesla's robotaxis are shaping the industry by teaching us new curse words; Waymo's, by teaching us new levels of patience.
en_0098	"Influencers are reportedly devastated. Many are now realizing their ""all-expenses-paid luxury brand retreat"" was just a very glamorous, mandatory tax seminar."
en_0099	"""Forecasters warn of tornadoes in US in coming days."" Or, as we call it, ""Tuesday."""
en_0100	"""Something has to change,"" cried the Man Utd board. ""From now on, we're only signing players who have actually beaten a Premier League team... like Grimsby."""
en_0101	"Why did the painter get fired from the furniture factory?

He tried to **spray** paint the executive **chair** with a can of hairspray, thinking it would give it ""extra hold."""
en_0102	"My friend tried to hang a picture with a **banana**.
I asked, ""Why aren't you using a **hammer**?""
He just shrugged and said, ""Nah, I want my art to be *appealing*!"""
en_0103	I helped my friend **move** his **fridge** last weekend. It was so heavy, I'm pretty sure it had its own gravitational pull.
en_0104	"Why did the man bring a hammer to the pumpkin carving contest?
He said he was just trying to get a head start on the pumpkin pie!"
en_0105	"What did the stressed-out pumpkin say?
""I just need to *peel* some pressure!"""
en_0106	"My friend lent me a really long book. I asked him, ""Is there a *microwave* setting to just fast-forward to the end?"""
en_0107	"Why did the ghost spray perfume on the front door?

Because he wanted to make a lasting impression!"
en_0108	My doctor told me I needed to start carefully measuring my food portions. So now, I only eat **pizza** slices that are exactly mouth-sized to **measure** them properly.
en_0109	"My new roommate tried to **unplug** the **fridge** last night.
""Why?"" I asked.
""He said the light inside was keeping him awake!"""
en_0110	"I asked my smart **phone**, ""How much do I **weigh**?""

It immediately replied, ""Sir, I'm a phone, not a scale. But if you **weigh** the evidence of your screen time, you might find an answer there."""
en_0111	"My cooking instructor told me, ""You need to **deseed** this **tomato**.""
I said, ""But won't that make it lose its *sow*-l?"""
en_0112	"Why did the barista get fired?
He tried to spray whipped cream directly into the customer's hands instead of their coffee **cup**!"
en_0113	"Why did the fruit stand so close to the **blender**?

It was hoping for a **close** shave!"
en_0114	"A man goes to the doctor and says, ""Doctor, I have a problem. Every time I use a **hammer**, my thumb looks like a squashed **tomato**!""

The doctor replies, ""Well, have you tried not hitting your thumb?"""
en_0115	"I told my new smart blender to make me a pumpkin smoothie. It paused, looked at the entire **pumpkin** on the counter, and then calmly stated, ""I'm sorry, I cannot **blend** that. My programming prevents self-harm."""
en_0116	"My grandma asked if her new **laptop** had a 'defrost' button like her **microwave**. I told her, ""No, but it definitely has a 'crash and freeze' setting!"""
en_0117	"Why did the carpenter bring his power drill to breakfast?
He heard the eggs were hard-boiled and wanted to make sure they were properly shelled."
en_0118	"My friend asked why I was struggling so much to **peel** my **coconut**.
I said, ""If I could *peel* it, it wouldn't be a coconut, it'd be a banana!"""
en_0119	"Q: Why did the fashionista *cut* her brand new designer *shoes* into tiny pieces?
A: She said she was going for a ""cutting-edge"" look!"
en_0120	"My doctor told me I needed to **weigh** all my food portions.

How's that going?

Terrible. My kitchen scale just keeps shouting ""Are you kidding me?!"" every time I try to **weigh** a **watermelon**!"
en_0121	"My fridge started making this strange knocking sound, so I grabbed my **hammer**.

""Why a hammer?"" my wife asked.

""Well,"" I replied, ""I wanted to see who was inside!"""
en_0122	I tried to make a smoothie with an *open* *blender*... now my kitchen looks like a Jackson Pollock painting made of berries.
en_0123	I tried to **cut** a **coconut** with a spoon today, but it just wasn't making the **cut**!
en_0124	My doctor told me I needed to *measure* my food portions carefully. So, I *measure*d the entire package of *bacon* and declared it a single serving.
en_0125	My New Year's resolution was to eat healthier, but as soon as I opened the **fridge**, my willpower began to **drop** faster than an ice cube.
en_0126	"Why did the farmer refuse to **measure** his giant **pumpkin**?
Because he was afraid it would **measure** up to be *pie*!"
en_0127	"Why did the programmer get a paper cut while working on his new laptop?
He was trying to ""cut and paste"" a document, and forgot it wasn't actual paper."
en_0128	My computer **keyboard** was acting so buggy, I figured a good **wash** would debug it. Now it's perfectly clean... and perfectly dead.
en_0129	"I tried to **shake** the apple **tree** for some fruit, but it just shouted, ""Leaf me alone!"""
en_0130	"Why did the **potato** get kicked out of the bowling alley?
He kept trying to **roll** himself down the lane!"
en_0131	My new digital detox plan is simple: every time I feel tempted to check my social media, I just **throw** my **phone** across the room.
en_0132	"Why did the golfer *throw* his *orange*?

Because he heard it was good for a slice!"
en_0133	"My friend tried to charge his **phone** by plugging it into a toaster. Now it just smells like burnt circuits. I told him, ""Well, you certainly managed to **fry** it!"""
en_0134	"My microwave was acting up, so I figured a good whack with a **hammer** would fix it.

Did it work? No, but now I have two smaller **microwave** ovens!"
en_0135	My New Year's resolution was to finally unplug from technology. So I unplugged my **phone**... then realized I was still scrolling through it while it was charging in my hand.
en_0136	"Why did the *pumpkin* refuse to get on the scale?
It said, ""I need to *weigh* my options first!"""
en_0137	I tried to **measure** my diet by only eating what fit on my **microwave** plate. Turns out, a whole lasagna fits just fine.
en_0138	"A man walks into a bar with a tomato on his head.
The bartender asks, ""What's with the tomato?""
The man shrugs, ""My therapist told me I needed to carefully **weigh** my options."""
en_0139	"My friend asked if I could help him *measure* the distance to the moon. I told him, ""Sure, but we're going to need a *lot* more *watermelon*!"""
en_0140	My therapist told me to embrace my inner child. So I went home, put on a bib, and tried to **throw** my **spoon** across the kitchen.
en_0141	My roommate tried to dry his wet running **shoes** in the **microwave**. Now the whole apartment smells like burnt rubber, and his shoes are two sizes smaller... and somehow still wet in the middle.
en_0142	"My wife told me to **throw** my dirty **shirt** into the laundry hamper.

I missed, and now it's soaking in the dog's water bowl. So, I guess it's a ""pre-wash"" dirty shirt?"
en_0143	"Why did the baker always keep a ruler next to his *oven*?

Because he needed to *measure* if his latest creation *measured* up!"
en_0144	"My doctor told me to add an **egg** to my morning **drink** for extra protein.
""And how's that going?""
""Well, my coffee keeps trying to hatch."""
en_0145	"Why did the baker get upset and **throw** his best **cookie**?
He was having a total melt-down!"
en_0146	"Why did the tech support guy put his **phone** in a smoothie blender?

He was trying to get his new app to **blend** in!"
en_0147	"Why did the man bring a **hammer** to the used **car** lot?
He wanted to **hammer** out a good deal."
en_0148	"My dad was struggling to open a stubborn *bottle* of ketchup.
""What did you do?"" I asked.
He just sighed, grabbed his power *drill*, and said, ""Time to get right to the *drill* of the matter."""
en_0149	"Why did the chef use a brand new, fluffy **towel** to wipe his knife?
Because he wanted a really clean **cut**!"
en_0150	"My wife asked why I only came home with one shoe.
I told her, ""I was trying to *hammer* a nail into the wall, and let's just say the other one is now a permanent fixture next to my new holey *shoes*!"""
en_0151	"Why did the chicken bring a **hammer** to the coop?

Because it wanted to make a hard-boiled **egg**!"
en_0152	"My **phone** stopped working, so I called tech support. They told me to try *hammering* the power button a few times. I guess they weren't kidding about a ""hard reset""!"
en_0153	"Why did the chef refuse to **wash** the **cucumber**?

He said, ""It's already *cool* and *crisp* enough!"""
en_0154	"Why did the alien refuse to play poker?
Every time he tried to **shake** the dice, his tentacles knocked over the entire **table**!"
en_0155	"Why was the **watermelon** worried about going to the laundromat?
Because it was afraid it would end up in the spin **wash**!"
en_0156	"Why did the man *spray* his library *book* with insect repellent?

He heard it was a real page-turner!"
en_0157	"My roommate asked if he could use the *microwave* to *wash* his socks.
I told him, ""Only if you want them to come out extra crusty!"""
en_0158	My therapist told me I needed to **open** up more. So I went home and stared blankly into the **fridge**, hoping it would share its feelings with me.
en_0159	"My friend was helping me move, and he insisted on carrying the microwave personally. I asked, ""Why are you so protective of the microwave?"" He replied, ""Because how else am I supposed to *move* on with my life without perfectly reheated pizza?"""
en_0160	"My wife asked me to **measure** her feet for new **shoes**.
I replied, ""Honey, at this point, we need to **measure** the *closet* to see if your current **shoes** still fit!"""
en_0161	"Why did the scissors get fired from the **car** factory?
Because they kept trying to **cut** corners!"
en_0162	"I asked the librarian if I could *wash* the *window*.
She said, ""Don't be a *pane*!"""
en_0163	"Why did the tomato refuse to go near the sink?
Because it was afraid if you gave it a good **wash**, it would end up **washed** out!"
en_0164	"My friend tried to get the shy girl at the party to loosen up.
He told her, ""Come on, *throw* a *flower* in the air like you just don't care!""
She just looked down and mumbled, ""No thanks, I'm more of a *wallflower*."""
en_0165	"Why did the geologist insist on cleaning his new specimen?
He said every *rock* deserves a good *wash* before it can truly *rock*!"
en_0166	"""My friend told me a joke about a banana and an ear of **corn**.""
""Oh really? How did it **peel**?"""
en_0167	My therapist told me I need to carefully **weigh** my options. So I bought a scale and started putting all my self-help **book**s on it.
en_0168	My dad, trying to be helpful, decided to warm up a can of air freshener **spray** in the **microwave**. Now our house smells like exploded lavender and shattered glass, and the dog is still giving the microwave side-eye.
en_0169	"Why was the carrot always picked first for the gymnastics team?

Because it was a *roll* model!"
en_0170	"Why did the new hire get fired from the tech company so quickly?
He tried to **cut** costs by dicing onions directly on his **keyboard**!"
en_0171	"Why was the egg always stressed out?
It had too much to **weigh** on its mind!"
en_0172	"Why did the man try to **wash** his clothes in the **fridge**?
Because he heard you get a much better ""cold cycle"" that way!"
en_0173	I tried to make a healthy smoothie this morning, but the **blender** started making plans to take over the world. I had to **unplug** it before it could recruit the toaster!
en_0174	"Why did the banana refuse to get on the scale?

Because it didn't want to **weigh** itself down with expectations!"
en_0175	"Why did the ghost refuse to enter the laundry room?
Because every time he got near the **door**, a sudden **wash** of icy air would hit him!"
en_0176	"Why did the bee apply for a job in quality control?
He was an expert at flying from **flower** to **flower**, ensuring each one could **measure** up!"
en_0177	"I asked the bartender if he could help me **weigh** an empty **bottle**.

He just looked at me and said, ""Looks like you already weighed your options and drank it all!"""
en_0178	"Why did the fashion designer bring his *phone* to the meeting?
He wanted to show everyone his latest fabric *cut*, but the signal kept getting *cut* off!"
en_0179	"Why did the detective spend an hour trying to **wash** the **apple**?
He was trying to get to the core of the problem!"
en_0180	My doctor told me I needed to **cut** back on sweets. So, I decided to replace all my candy with a giant **pumpkin** instead. It's basically a fruit, right?
en_0181	"I told my friend I was going to **wash** my car using only a small hand **towel**. He said, ""That's going to be a total wipeout!"""
en_0182	"My computer froze again, and the screen said, ""Press any key to continue."" I stood there, a **hammer** in my hand, staring at my **keyboard**, wondering which one it meant."
en_0183	"Why did the ant exterminator keep spraying the picnic **table**?
He wanted to **spray** a little doubt into their lunch plans!"
en_0184	"Why did the barber refuse to give the boulder a haircut?

He said, ""I can't *cut* that; it's solid *rock*!"""
en_0185	I started reading a **book** about paper recycling, but I had to **cut** it short. It was just too repetitive.
en_0186	I asked my barber for a haircut that would make people *shake* their heads in amazement. He styled my *hair* into a giant question mark.
en_0187	"My doctor told me I needed to **shake** things up with my diet. So I bought a **lemon**... now I'm just standing here wondering how to ""shake"" it."
en_0188	My rabbit, Peter, tried to become an architect. He kept trying to **measure** everything in **carrots**!
en_0189	"A guy walks into a hardware store and asks, ""Do you have anything that can open a stubborn bottle?""

The clerk hands him a **hammer**.

""A hammer?"" the guy asks, confused.

""Well,"" the clerk replies, ""it'll certainly **open** it!"""
en_0190	My roommate tried to **wash** his sneakers in the **blender**. He swore it would really *blend* away the grime!
en_0191	My diet was going great, I was so **close** to my goal... then I opened the **fridge**.
en_0192	"Why did the chef put the dirty pan back in the *oven*?

He thought the heat would *wash* all the grime right off!"
en_0193	"Why did the chef bring a hammer into the kitchen?
Because the recipe said to ""beat the coconut""!"
en_0194	How do I measure my daily frustration? I just try to open more than two tabs on my old laptop.
en_0195	"Why did the **tomato** start to **shake** when it saw the blender?
Because it knew it was about to become a shake!"
en_0196	"My therapist told me I needed to wash away my worries. So I tried to put my favorite armchair in the washing machine.

""Did it work?"" my friend asked.

""No,"" I sighed, ""but now I have a really clean, but very broken, **chair**."""
en_0197	"Why did the man bring a hammer to the fruit stand?
He heard they were having a *smashing* deal on *watermelon*s!"
en_0198	"Why did the chef refuse to use the new 'instant egg' machine?
Because he didn't trust anything that promised to **spray** his **eggs** into existence!"
en_0199	"Why did the ghost refuse to pick the daisy?

Because it was a *shake*-y *flower*!"
en_0200	My therapist told me I need to learn to *move* on. I told him it's hard when my car is still wrapped around that *tree*.
en_0201	"""And by 'more,' they mean 'what to do when you realize you've run out of inspiration and just ordered pizza again.'"""
en_0202	5 key takeaways from the latest presidential debate Analysis and Comment: My main takeaway was that the analyst had to invent three of them.
en_0203	French PM resigns, market slides. Apparently, he was the human handrail for the entire French economy.
en_0204	"David Muir reported on a daughter thanking a nurse who saved her dad at a Bills game. The nurse later admitted, ""He was stable, but I had to stop him from trying to jump through a *fourth* folding table."""
en_0205	11 movies everyone can truly enjoy? I'm calling it: Bigfoot sighting and world peace are next.
en_0206	Egypt says a 3,000-year-old bracelet was stolen and melted down. I guess the thief decided it was time for an upgrade.
en_0207	An actual planet made an epic comeback against a wild cat, and then a basketball starred in a win for some playing cards. I guess sports really are getting *out of this world* these days!
en_0208	Nearly a third of bosses report an increase in cyber-attacks on their supply chains. The other two-thirds just think their email keeps sending out unsolicited cat memes.
en_0209	"His ""favorites"" are probably the ones that opened fastest... for *him*."
en_0210	Abraham Lincoln got into the Wrestling Hall of Fame on a bet. He bet he could *grapple* with the issues of slavery *and* still have time for a few actual takedowns.
en_0211	A Canadian shortlisted for 2025? He's probably already started writing his 'I'm sorry for not winning' speech.
en_0212	"The UK government's August budget strategy: ""Let's just put it on the five-year tab!"""
en_0213	New hand luggage liquid rules at Dublin Airport. So, what, we're supposed to fly without a *proper* pint of Guinness now?
en_0214	"The BBC correspondents assessed Trump's state visit: 'Was it worth it?' Their 50-page report essentially concluded: ""Our therapists certainly thought so."""
en_0215	"""‘The Fate of Ophelia’ music video premiered online. Turns out, her tragic fate was to be immediately followed by an unskippable ad for car insurance."""
en_0216	France’s PM resigned in less than a month. I think his job interview lasted longer.
en_0217	Harry follows in Diana’s footsteps as he joins new Aids campaign. He's reportedly brought a GPS to make sure he steps in *exactly* the right spots.
en_0218	"""Syrians vote in the first parliamentary election since Assad's fall. Someone should probably tell Assad."""
en_0219	"Macron's new prime minister must be thinking, ""Wow, that was a *really* short honeymoon period."""
en_0220	"It becomes ""eugenics-y"" when your baby registry includes a DNA test to ensure they'll *actually* use all the organic, gluten-free baby food."
en_0221	Trouville was immortalized by Monet, which explains why the town council meeting minutes are always a little blurry.
en_0222	Trump says TV networks opposed to him should 'maybe' lose license. He must really want a TV remote with only one channel.
en_0223	"An easy version of the hardest crossword? I think they just call that ""a completed puzzle."""
en_0224	Nations ratify the world’s first treaty to protect international waters. Now, if only they could get the plastic to read the fine print.
en_0225	"Derek Thompson is worried Americans are socializing less. I'd invite him to a party to cheer him up, but I'm afraid he'd just count the guests and write an article titled ""Another Stark Decline!"""
en_0226	Democrats are becoming a force in The Villages. Their biggest campaign promise? Mandatory afternoon naps for all registered voters.
en_0227	Man arrested for cyber-attack on airports. Apparently, he was just trying to get free checked baggage.
en_0228	The NFL admitted the Eagles got away with a tush push penalty. Clearly, their replay booth just got Wi-Fi.
en_0229	SafeSport wants to improve communication on long cases, so now instead of just waiting, you'll get a 10-part documentary series explaining *why* you're still waiting.
en_0230	"""Directors would be like: 'This is the Asian part',"" Christopher Chung recounted. ""I'd always ask, 'Is it the one who conveniently fixes the Wi-Fi or just really good at ordering takeout?'"""
en_0231	I tried to 'wind down' after that 'big news.' Now I just feel like a clock that's been overwound, about to explode.
en_0232	"They called it ""Riff Raff"" because that's all that was left of the budget after they stuffed it with Bill Murray, Jennifer Coolidge, and Ed Harris."
en_0233	And I thought *my* vacuum cleaner had a tough job!
en_0234	I told my dad I was queer, and he said he found it hard to love me. Honestly, the moment that changed me was realizing I'd just freed up all my Father's Day budget.
en_0235	"Taylor Swift's frenemies are busy decoding her new album for shade. Jenn Gannon's view? ""Darling, it's Taylor Swift. The shade isn't hidden; it's the liner notes."""
en_0236	The Dolphins swam hard on Thursday night, but the Bills just reminded them they were 10 points *out of their depth*.
en_0237	Rite Aid closed all its stores after bankruptcy. Turns out, they needed aid, but just couldn't get it *Rite*.
en_0238	"The Flames said 'no' to Dillon Dube. He then asked if he could just get his hockey stick back, and they still yelled, ""NO!"""
en_0239	A toast to tradition in Japan's sake capital! Just don't bring actual toast, they prefer their traditions *liquid*.
en_0240	KFF found most Americans wanted health insurance tax credits extended just before the shutdown. So, basically, they polled an entire country on their last meal request.
en_0241	"""The biggest stories of our time, in 20 minutes a day."" So, just enough time for them to say, ""The world is ending. Anyway, here's Wonderwall."""
en_0242	"I read that article, ""This is, objectively, the worst pasta shape."" Turns out it's not an edible shape at all, it's just the tangled mess of headphones in your pocket."
en_0243	She insisted all official decrees be written in Comic Sans.
en_0244	It's great, but she still tries to burp me after every coffee break.
en_0245	"Scientists pinpointed the brain's internal mileage clock. Mine just hit 200,000 memories and the ""low attention span"" light flashed."
en_0246	Regulators approved the disputed $6.2B takeover of Minnesota Power. Guess the investment group just proved who *really* has the power.
en_0247	The district is suing for an attendance policy violation; his detention counts as an unexcused absence.
en_0248	Manchán Magan's final interview is out. He clarified that 'final' just means he's finally run out of poetic adjectives for peat bogs.
en_0249	"I followed the ""Clean Everything"" article. Now my house is so squeaky clean, the mice are wearing tiny earplugs."
en_0250	Optus customers are so angry about their failed triple-0 calls, they tried to call Optus to complain... but that call failed too.
en_0251	"I signed up for ""Well Actually,"" the wellness newsletter. My first email was titled: ""Well, actually, you shouldn't be spending this much time on screens."""
en_0252	"A blind dog, the ""hot mess express,"" lit up the internet. He might not see his viral fame, but he's definitely *feeling* the love... and probably everything else in the room."
en_0253	The 'Government Efficiency' tax. They realized they'd owe themselves the entire €213m.
en_0254	Eby criticized the pipeline and the ferry treatment. Clearly, he believes environmental disasters are bad, but a cold coffee on the Horseshoe Bay route is an act of war.
en_0255	"My doctor said my back pain needed ""more coaching, less fixing."" So now, when I wince, he just yells, ""Walk it off! You're stronger than you think, back!"""
en_0256	"Gen Z stopped going outside. Now when you tell them to ""touch grass,"" they just swipe left looking for the app."
